,prediction,test
118,[24925.97265625],[21898.0]
119,[8008.63427734375],[33419.0]
120,[13403.6943359375],[22405.0]
121,[28343.1171875],[13847.0]
122,[13472.6806640625],[44056.0]
123,[16965.1171875],[30600.0]
124,[29521.3671875],[31742.0]
125,[21071.392578125],[36195.0]
126,[32825.8203125],[17804.0]
127,[20345.712890625],[24057.0]
128,[9697.2685546875],[33400.0]
129,[34531.59765625],[29911.0]
130,[14810.2978515625],[21627.0]
131,[20086.6953125],[1000.0]
132,[25674.916015625],[54501.0]
133,[10355.419921875],[26746.0]
134,[16781.38671875],[27250.0]
135,[11642.0576171875],[44807.0]
136,[9320.5068359375],[12329.0]
137,[19774.11328125],[25391.0]
138,[24749.6484375],[41718.0]
139,[40865.015625],[26547.0]
140,[28202.009765625],[11666.0]
141,[31490.814453125],[28237.0]
142,[32495.138671875],[33280.0]
143,[10804.1650390625],[41754.0]
144,[34367.80078125],[21440.0]
145,[4755.2802734375],[11350.0]
146,[1490.45166015625],[20999.0]
147,[32012.259765625],[34387.0]
148,[9974.0732421875],[44231.0]
149,[12550.8369140625],[14949.0]
150,[18890.51171875],[40823.0]
151,[13314.9736328125],[40434.0]
152,[16742.607421875],[24652.0]
153,[32976.4453125],[24862.0]
154,[11630.6689453125],[32451.0]
155,[30445.732421875],[37796.0]
156,[8778.81640625],[20122.0]
157,[41753.8828125],[24977.0]
158,[16069.3359375],[27490.0]
159,[5127.3828125],[36295.0]
160,[13911.169921875],[40650.0]
161,[27769.89453125],[43634.0]
162,[19813.087890625],[38000.0]
163,[22062.857421875],[28140.0]
164,[30831.291015625],[29192.0]
165,[6439.81689453125],[34210.0]
166,[38800.0],[23300.0]
167,[23153.1328125],[400.0]
168,[34289.2109375],[40390.0]
169,[21523.07421875],[17325.0]
170,[23871.01953125],[10950.0]
171,[28366.810546875],[36500.0]
172,[15638.1796875],[7000.0]
173,[20490.376953125],[10999.0]
174,[25702.84375],[43626.0]
175,[10143.728515625],[6000.0]
176,[17311.412109375],[29452.0]
177,[14426.3798828125],[39593.0]
178,[36150.6953125],[32015.0]
179,[39462.96875],[30930.0]
180,[29667.216796875],[11111.0]
181,[31065.46484375],[15238.0]
182,[8987.2197265625],[24750.0]
183,[38852.31640625],[30412.0]
184,[38677.640625],[47187.0]
185,[13420.283203125],[30204.0]
186,[40712.40234375],[43513.0]
187,[11417.2744140625],[26682.0]
188,[11218.6982421875],[23000.0]
189,[4011.841796875],[31016.0]
190,[31632.822265625],[23000.0]
191,[41533.4296875],[21510.0]
192,[31623.982421875],[31404.0]
193,[19669.130859375],[29240.0]
194,[43157.46875],[18507.0]
195,[27883.240234375],[39378.0]
196,[15338.2470703125],[28600.0]
197,[8995.5322265625],[34650.0]
198,[33583.140625],[33787.0]
199,[18080.294921875],[25627.0]
200,[3394.250244140625],[1200.0]
201,[6875.1728515625],[11000.0]
202,[6043.00439453125],[12773.0]
203,[31284.525390625],[26690.0]
204,[6771.9521484375],[19868.0]
205,[8380.8603515625],[33363.0]
206,[17877.470703125],[11999.0]
207,[2775.452880859375],[39152.0]
208,[41475.7890625],[5555.0]
209,[4140.89599609375],[11465.0]
210,[35462.515625],[2499.0]
211,[2327.805419921875],[19995.0]
212,[13819.3291015625],[13999.0]
213,[14253.2373046875],[40548.0]
214,[7220.03857421875],[26734.0]
215,[3504.717529296875],[28112.0]
216,[23945.720703125],[24276.0]
217,[10415.6201171875],[23000.0]
218,[11639.521484375],[23000.0]
219,[19923.478515625],[29665.0]
220,[22942.09375],[4888.0]
221,[33396.5390625],[28748.0]
222,[3899.079833984375],[23500.0]
223,[26610.458984375],[25942.0]
224,[13694.591796875],[36551.0]
225,[8830.1826171875],[38810.0]
226,[19450.580078125],[21965.0]
227,[36497.2734375],[18999.0]
228,[24640.541015625],[24990.0]
229,[39913.1015625],[32747.0]
230,[10854.0],[1000.0]
231,[32146.603515625],[28916.0]
232,[4359.01708984375],[46848.0]
233,[35216.03515625],[30983.0]
234,[7773.19677734375],[40280.0]
235,[23193.34765625],[42650.0]
236,[22308.390625],[14117.0]
237,[15664.0908203125],[29500.0]
238,[13162.1357421875],[34778.0]
239,[9554.3642578125],[24258.0]
240,[24112.474609375],[2497.0]
241,[2220.086669921875],[6500.0]
242,[33423.92578125],[58413.0]
243,[825.5813598632812],[34341.0]
244,[36879.453125],[33951.0]
245,[17953.201171875],[27176.0]
246,[25091.216796875],[36271.0]
247,[19485.080078125],[20485.0]
248,[21649.751953125],[2200.0]
249,[13056.9697265625],[34463.0]
250,[36477.8828125],[26734.0]
251,[49033.62109375],[43789.0]
252,[29297.923828125],[44000.0]
253,[33021.3359375],[21603.0]
254,[38260.140625],[30727.0]
255,[26214.99609375],[32852.0]
256,[22703.62109375],[19544.0]
257,[37305.140625],[20999.0]
258,[2749.95068359375],[27965.0]
259,[5685.6767578125],[36361.0]
260,[21076.080078125],[21217.0]
261,[19418.134765625],[24439.0]
262,[30450.19140625],[20799.0]
263,[12350.3466796875],[32412.0]
264,[11740.052734375],[40150.0]
265,[5874.1455078125],[30787.0]
266,[40651.59375],[42952.0]
267,[31125.724609375],[2500.0]
268,[5112.22216796875],[20144.0]
269,[31363.541015625],[37749.0]
270,[32935.9921875],[28065.0]
271,[3521.242919921875],[25188.0]
272,[8124.79541015625],[34387.0]
273,[11171.6513671875],[25945.0]
274,[20056.80078125],[17564.0]
275,[11806.0224609375],[30084.0]
276,[16768.115234375],[41515.0]
277,[9259.197265625],[39266.0]
278,[17306.10546875],[40818.0]
279,[3771.688232421875],[3600.0]
280,[27888.30078125],[20999.0]
281,[38996.05078125],[32783.0]
282,[8678.4697265625],[22884.0]
283,[45417.65625],[26950.0]
284,[4663.20947265625],[15500.0]
285,[7304.82275390625],[16095.0]
286,[1518.349853515625],[9891.0]
287,[38376.39453125],[21990.0]
288,[12566.4541015625],[29670.0]
289,[8569.8271484375],[4800.0]
290,[27174.228515625],[41566.0]
291,[15373.5478515625],[18711.0]
292,[32515.099609375],[30614.0]
293,[40130.8671875],[15363.0]
294,[42424.984375],[37334.0]
295,[34755.38671875],[36406.0]
296,[16527.27734375],[24794.0]
297,[33748.0703125],[26025.0]
298,[25185.04296875],[26137.0]
299,[1845.66943359375],[28627.0]
300,[28544.900390625],[11999.0]
301,[7247.41845703125],[27845.0]
302,[7639.82861328125],[31771.0]
303,[32854.73828125],[26507.0]
304,[15349.2958984375],[6875.0]
305,[9061.65625],[34500.0]
306,[37960.828125],[18815.0]
307,[41972.2421875],[30775.0]
308,[24112.72265625],[16200.0]
309,[13025.630859375],[21000.0]
310,[14479.2685546875],[16915.0]
311,[21626.111328125],[28229.0]
312,[12569.3486328125],[18384.0]
313,[16054.6943359375],[13999.0]
314,[12350.4609375],[8000.0]
315,[33350.98046875],[4597.0]
316,[21038.462890625],[35486.0]
317,[29068.623046875],[33416.0]
318,[18963.978515625],[34835.0]
319,[16853.412109375],[43900.0]
320,[18687.318359375],[18000.0]
321,[47406.1953125],[34010.0]
322,[11086.4326171875],[45482.0]
323,[23120.263671875],[34995.0]
324,[7085.06787109375],[16828.0]
325,[2670.974365234375],[3000.0]
326,[2395.85302734375],[34848.0]
327,[29326.16015625],[27468.0]
328,[41926.625],[23844.0]
329,[30331.728515625],[23500.0]
330,[11828.7607421875],[26242.0]
331,[21179.587890625],[23656.0]
332,[29174.291015625],[19848.0]
333,[38053.75],[18353.0]
334,[5970.6806640625],[27965.0]
335,[32303.638671875],[32646.0]
336,[4130.896484375],[31362.0]
337,[12270.9384765625],[39352.0]
338,[37251.88671875],[23077.0]
339,[47784.375],[38551.0]
340,[14198.1279296875],[54900.0]
341,[18827.416015625],[25977.0]
342,[14168.0244140625],[42925.0]
343,[22115.556640625],[23155.0]
344,[1919.0296630859375],[19995.0]
345,[19795.380859375],[1939.0]
346,[28714.845703125],[46200.0]
347,[12723.689453125],[25248.0]
348,[3890.04150390625],[53900.0]
349,[29001.765625],[23995.0]
350,[43244.9140625],[7555.0]
351,[37014.3359375],[26588.0]
352,[22601.2421875],[22227.0]
353,[30942.560546875],[13999.0]
354,[38905.81640625],[6955.0]
355,[29539.251953125],[8995.0]
356,[34698.20703125],[28916.0]
357,[31777.240234375],[43840.0]
358,[23977.099609375],[16484.0]
359,[40591.9765625],[23502.0]
360,[32087.177734375],[39649.0]
361,[32222.626953125],[45309.0]
362,[15519.123046875],[56850.0]
363,[19509.896484375],[1500.0]
364,[684.8605346679688],[22741.0]
365,[34291.80078125],[455.0]
366,[21599.310546875],[11999.0]
367,[17511.31640625],[24650.0]
368,[21766.876953125],[34995.0]
369,[32690.5859375],[10705.0]
370,[34157.8515625],[32274.0]
371,[37883.94140625],[22500.0]
372,[11010.63671875],[42851.0]
373,[7545.56787109375],[24871.0]
374,[13957.3623046875],[8200.0]
375,[11026.0126953125],[23522.0]
376,[36166.5625],[41150.0]
377,[13380.0556640625],[47450.0]
378,[13463.0341796875],[21818.0]
379,[28314.1875],[20309.0]
380,[15252.48046875],[3700.0]
381,[31547.166015625],[26857.0]
382,[30375.673828125],[36360.0]
383,[31597.666015625],[17869.0]
384,[26966.5703125],[34073.0]
385,[39818.625],[11999.0]
386,[31122.263671875],[31111.0]
387,[41542.5234375],[43400.0]
388,[30688.912109375],[23294.0]
389,[31547.255859375],[6000.0]
390,[28307.71484375],[12765.0]
391,[30412.2265625],[1999.0]
392,[32137.75390625],[40301.0]
393,[4941.3955078125],[20296.0]
394,[6612.49072265625],[21217.0]
395,[23600.64453125],[28401.0]
396,[24010.16796875],[36177.0]
397,[16737.056640625],[13220.0]
398,[36297.9453125],[32207.0]
399,[7511.53271484375],[27327.0]
400,[11491.6982421875],[40243.0]
401,[23841.919921875],[20735.0]
402,[22578.658203125],[43400.0]
403,[6437.92041015625],[33650.0]
404,[7939.99267578125],[27000.0]
405,[24063.400390625],[24724.0]
406,[41534.3046875],[21026.0]
407,[14148.474609375],[22270.0]
408,[9123.259765625],[18000.0]
409,[14032.8974609375],[3700.0]
410,[32342.263671875],[50567.0]
411,[22488.541015625],[18912.0]
412,[21168.177734375],[32765.0]
413,[9067.3818359375],[35371.0]
414,[9263.904296875],[1400.0]
415,[32560.6875],[11800.0]
416,[22086.17578125],[23457.0]
417,[36813.70703125],[13469.0]
418,[14186.5791015625],[49500.0]
419,[5761.2294921875],[29665.0]
420,[30353.375],[45000.0]
421,[13345.9599609375],[23659.0]
422,[38689.671875],[27098.0]
423,[19931.67578125],[25539.0]
424,[4578.93115234375],[26573.0]
425,[32379.734375],[20487.0]
426,[2993.286376953125],[43500.0]
427,[12955.33203125],[31879.0]
428,[14179.9765625],[44150.0]
429,[33976.31640625],[11999.0]
430,[3817.61181640625],[16200.0]
431,[20110.705078125],[20382.0]
432,[31690.953125],[31716.0]
433,[11649.2939453125],[11999.0]
434,[43806.1875],[38835.0]
435,[40695.8203125],[36790.0]
436,[869.0953369140625],[18144.0]
437,[35469.3359375],[40633.0]
438,[8145.27783203125],[23500.0]
439,[41762.34765625],[27511.0]
440,[29650.28125],[3999.0]
441,[23309.365234375],[40752.0]
442,[3025.509033203125],[3650.0]
443,[12456.06640625],[40641.0]
444,[39452.9140625],[19161.0]
445,[20695.470703125],[26327.0]
446,[25662.697265625],[54500.0]
447,[27213.884765625],[23065.0]
448,[13458.7294921875],[29937.0]
449,[14949.9990234375],[32275.0]
450,[30794.732421875],[31280.0]
451,[31597.212890625],[34444.0]
452,[4276.28662109375],[14955.0]
453,[14700.3564453125],[30470.0]
454,[11959.2138671875],[23000.0]
455,[36166.015625],[21966.0]
456,[27814.265625],[1400.0]
457,[8947.4912109375],[10999.0]
458,[19612.005859375],[49500.0]
459,[2944.21337890625],[19814.0]
460,[19594.509765625],[19762.0]
461,[1821.06884765625],[22723.0]
462,[13666.484375],[36331.0]
463,[29422.287109375],[10383.0]
464,[1780.2425537109375],[39725.0]
465,[6583.94677734375],[19995.0]
466,[3557.697021484375],[9421.0]
467,[10009.7294921875],[29525.0]
468,[14069.7705078125],[37663.0]
469,[24350.662109375],[40800.0]
470,[32125.529296875],[39372.0]
471,[5719.87060546875],[34709.0]
472,[30996.451171875],[32000.0]
473,[27411.978515625],[32096.0]
474,[7852.41015625],[39021.0]
475,[27975.52734375],[39889.0]
476,[12528.7880859375],[26752.0]
477,[19136.716796875],[54500.0]
478,[23736.802734375],[26265.0]
479,[25148.142578125],[44192.0]
480,[24390.841796875],[24780.0]
481,[5655.30029296875],[11350.0]
482,[7773.72998046875],[10000.0]
483,[29786.845703125],[18000.0]
484,[37181.1796875],[34474.0]
485,[29076.197265625],[20475.0]
486,[12254.888671875],[49792.0]
487,[38425.1796875],[30067.0]
488,[18415.765625],[3500.0]
489,[32783.64453125],[10999.0]
490,[19896.263671875],[1000.0]
491,[27359.947265625],[26500.0]
492,[27598.521484375],[26622.0]
493,[8853.5810546875],[21096.0]
494,[22986.935546875],[39226.0]
495,[21422.673828125],[9499.0]
496,[29467.271484375],[32250.0]
497,[31535.6875],[14457.0]
498,[35365.265625],[31305.0]
499,[43633.03125],[23293.0]
500,[10389.125],[50500.0]
501,[14337.9296875],[27435.0]
502,[17320.234375],[30322.0]
503,[43569.75],[18356.0]
504,[16666.39453125],[5000.0]
505,[5841.53173828125],[27678.0]
506,[18284.142578125],[28186.0]
507,[31387.412109375],[23436.0]
508,[14410.021484375],[47459.0]
509,[9660.8662109375],[23696.0]
510,[16801.810546875],[550.0]
511,[1097.100830078125],[32334.0]
512,[23737.52734375],[24125.0]
513,[14235.12109375],[41187.0]
514,[25272.396484375],[23267.0]
515,[42937.203125],[33349.0]
516,[1266.566162109375],[22000.0]
517,[11697.203125],[32228.0]
518,[23383.423828125],[37694.0]
519,[26892.796875],[24472.0]
520,[34117.87109375],[25770.0]
521,[7785.13037109375],[28400.0]
522,[22423.072265625],[1555.0]
523,[6272.40576171875],[33490.0]
524,[27752.763671875],[23336.0]
525,[26639.974609375],[30109.0]
526,[31259.740234375],[11174.0]
527,[4896.93701171875],[26160.0]
528,[32268.525390625],[34444.0]
529,[2052.65673828125],[20623.0]
530,[28721.974609375],[10999.0]
531,[32747.482421875],[31853.0]
532,[46603.671875],[31156.0]
533,[24364.630859375],[16682.0]
534,[10980.9443359375],[40714.0]
535,[15313.7275390625],[15600.0]
536,[32546.3671875],[34888.0]
537,[40986.8203125],[20974.0]
538,[25366.791015625],[21512.0]
539,[23631.033203125],[39738.0]
540,[40971.921875],[32020.0]
541,[27927.947265625],[16199.0]
542,[21989.447265625],[37387.0]
543,[13918.5654296875],[2500.0]
544,[7892.36669921875],[31222.0]
545,[13590.25390625],[14122.0]
546,[17326.09765625],[44804.0]
547,[13369.0771484375],[43456.0]
548,[37529.87890625],[24500.0]
549,[13805.095703125],[45127.0]
550,[9332.6513671875],[23250.0]
551,[27198.458984375],[11999.0]
552,[36799.08984375],[21286.0]
553,[11563.1767578125],[29499.0]
554,[18490.580078125],[32855.0]
555,[6904.23974609375],[27400.0]
556,[6276.30078125],[19995.0]
557,[38811.15625],[38910.0]
558,[34280.2578125],[22334.0]
559,[7209.3642578125],[22372.0]
560,[36841.3828125],[34388.0]
561,[16283.9970703125],[1100.0]
562,[5085.36376953125],[26877.0]
563,[35099.37890625],[34427.0]
564,[27405.111328125],[28615.0]
565,[33233.21484375],[24044.0]
566,[23877.265625],[33276.0]
567,[19806.630859375],[39497.0]
568,[3060.336181640625],[33063.0]
569,[20544.630859375],[34500.0]
570,[2335.466552734375],[37393.0]
571,[37192.40625],[21390.0]
572,[38940.21875],[38269.0]
573,[36549.78515625],[35170.0]
574,[649.0056762695312],[42500.0]
575,[20314.6796875],[38381.0]
576,[7043.17431640625],[30512.0]
577,[28863.28125],[14708.0]
578,[4491.99658203125],[18819.0]
579,[14877.109375],[18344.0]
580,[19470.177734375],[36405.0]
581,[16108.5458984375],[38204.0]
582,[5109.99609375],[19000.0]
583,[33553.78125],[42543.0]
584,[16186.1728515625],[35222.0]
585,[4957.6044921875],[44703.0]
586,[19980.458984375],[33508.0]
587,[21052.365234375],[39734.0]
588,[27746.921875],[22530.0]
589,[24230.474609375],[7997.0]
590,[21891.845703125],[35446.0]
591,[32026.65625],[22202.0]
592,[24021.666015625],[37605.0]
593,[20768.583984375],[46750.0]
594,[22372.337890625],[39404.0]
595,[29069.576171875],[25214.0]
596,[40342.5234375],[12995.0]
597,[27096.189453125],[36800.0]
598,[12660.0634765625],[33969.0]
599,[39411.7265625],[20135.0]
600,[30392.716796875],[19848.0]
601,[24944.9609375],[31031.0]
602,[40059.609375],[24618.0]
603,[19250.654296875],[27390.0]
604,[40054.2421875],[34444.0]
605,[20803.759765625],[56600.0]
606,[6033.56005859375],[18293.0]
607,[25698.884765625],[30567.0]
608,[21134.03515625],[33318.0]
609,[20072.615234375],[21600.0]
610,[4485.16357421875],[10098.0]
611,[3434.866455078125],[24534.0]
612,[23371.025390625],[39877.0]
613,[45576.1640625],[19725.0]
614,[35883.42578125],[17200.0]
615,[25894.146484375],[27844.0]
616,[25995.955078125],[20664.0]
617,[34166.62109375],[18217.0]
618,[17722.837890625],[37562.0]
619,[14808.6845703125],[27447.0]
620,[32393.7421875],[35085.0]
621,[33310.08203125],[11999.0]
622,[7126.95068359375],[41328.0]
623,[31382.146484375],[67939.0]
624,[32562.298828125],[999.0]
625,[35186.9453125],[1999.0]
626,[27254.650390625],[2797.0]
627,[14760.0869140625],[2700.0]
628,[6407.828125],[5390.0]
629,[35626.03125],[17246.0]
630,[4888.0166015625],[16450.0]
631,[20022.978515625],[28537.0]
632,[16485.919921875],[17786.0]
633,[20216.052734375],[18773.0]
634,[15200.5703125],[36298.0]
635,[23132.443359375],[49817.0]
636,[25440.380859375],[499.0]
637,[36714.3125],[21848.0]
638,[29051.373046875],[25111.0]
639,[23674.716796875],[44400.0]
640,[26716.943359375],[42403.0]
641,[21305.482421875],[33575.0]
642,[12971.5703125],[16508.0]
643,[28540.205078125],[12995.0]
644,[14616.1337890625],[24799.0]
645,[1957.1148681640625],[30620.0]
646,[1803.028564453125],[10999.0]
647,[6614.11572265625],[23276.0]
648,[2176.031494140625],[24995.0]
649,[1375.829833984375],[21270.0]
650,[24118.8359375],[23408.0]
651,[42294.28125],[6995.0]
652,[19342.09765625],[23018.0]
653,[7886.84033203125],[29589.0]
654,[10989.5771484375],[24481.0]
655,[16259.310546875],[25572.0]
656,[13112.8515625],[11950.0]
657,[12473.6376953125],[19264.0]
658,[18450.181640625],[23698.0]
659,[21005.044921875],[23712.0]
660,[17058.89453125],[38655.0]
661,[22128.048828125],[23831.0]
662,[26816.728515625],[26235.0]
663,[30649.287109375],[30942.0]
664,[16612.763671875],[27752.0]
665,[12818.150390625],[30090.0]
666,[10443.4677734375],[25472.0]
667,[31113.96484375],[32119.0]
668,[28975.228515625],[23593.0]
669,[20820.583984375],[32852.0]
670,[12590.5830078125],[31752.0]
671,[39062.30078125],[14444.0]
672,[29585.888671875],[10999.0]
673,[36136.07421875],[12997.0]
674,[38220.74609375],[14925.0]
675,[8785.6865234375],[21882.0]
676,[46565.796875],[43126.0]
677,[40811.078125],[32256.0]
678,[31088.30078125],[25389.0]
679,[22347.962890625],[21622.0]
680,[26021.275390625],[25000.0]
681,[20509.294921875],[34500.0]
682,[45442.9609375],[29250.0]
683,[20301.494140625],[23437.0]
684,[11729.5546875],[40349.0]
685,[11768.275390625],[32525.0]
686,[2831.429931640625],[18729.0]
687,[24214.8671875],[29001.0]
688,[14204.134765625],[49525.0]
689,[7305.29150390625],[31939.0]
690,[13477.1787109375],[29220.0]
691,[42469.1953125],[30275.0]
692,[22421.619140625],[997.0]
693,[10793.4599609375],[24140.0]
694,[30033.728515625],[2370.0]
695,[10574.25],[20994.0]
696,[39051.15625],[21048.0]
697,[18216.23046875],[40290.0]
698,[15604.5380859375],[27327.0]
699,[29416.162109375],[24230.0]
700,[4324.41943359375],[20748.0]
701,[33789.6875],[46409.0]
702,[40388.1640625],[26059.0]
703,[25098.486328125],[20295.0]
704,[11172.416015625],[22342.0]
705,[2587.467529296875],[2753.0]
706,[10227.09375],[21151.0]
707,[21232.572265625],[24300.0]
708,[25260.564453125],[1400.0]
709,[2325.740478515625],[40437.0]
710,[38793.6796875],[19774.0]
711,[17789.701171875],[55444.0]
712,[13407.2607421875],[24360.0]
713,[40859.3359375],[17625.0]
714,[24662.341796875],[73500.0]
715,[25832.755859375],[11877.0]
716,[27745.419921875],[62100.0]
717,[37241.2109375],[17066.0]
718,[15876.701171875],[12112.0]
719,[23596.408203125],[47466.0]
720,[12071.7958984375],[40380.0]
721,[23025.95703125],[42712.0]
722,[44201.01171875],[46500.0]
723,[3951.35791015625],[16000.0]
724,[17990.123046875],[33500.0]
725,[40120.4921875],[35579.0]
726,[2490.442138671875],[7000.0]
727,[1533.3736572265625],[21374.0]
728,[28072.044921875],[29522.0]
729,[40457.640625],[4597.0]
730,[13619.3837890625],[25005.0]
731,[11595.7548828125],[26665.0]
732,[7958.57861328125],[27661.0]
733,[29469.0078125],[26834.0]
734,[35314.0546875],[27935.0]
735,[35578.140625],[9460.0]
736,[16339.0712890625],[27641.0]
737,[29083.265625],[21973.0]
738,[37814.1640625],[47175.0]
739,[29308.701171875],[42500.0]
740,[13616.3642578125],[31162.0]
741,[32555.353515625],[28473.0]
742,[2557.700927734375],[40257.0]
743,[31850.318359375],[5997.0]
744,[22522.443359375],[20315.0]
745,[22086.65625],[26094.0]
746,[45432.28125],[22267.0]
747,[29806.279296875],[22350.0]
748,[4253.1689453125],[16000.0]
749,[25851.86328125],[24750.0]
750,[30806.830078125],[34444.0]
751,[11249.9052734375],[40144.0]
752,[22009.259765625],[45465.0]
753,[17930.21484375],[26488.0]
754,[34075.015625],[3582.0]
755,[10588.0439453125],[17140.0]
756,[5226.44775390625],[42902.0]
757,[30228.392578125],[6666.0]
758,[1670.7178955078125],[22119.0]
759,[24341.263671875],[36698.0]
760,[16644.396484375],[32300.0]
761,[32398.4609375],[38460.0]
762,[7452.6640625],[28283.0]
763,[36668.953125],[555.0]
764,[12419.4658203125],[27777.0]
765,[30809.505859375],[25500.0]
766,[15221.7978515625],[21430.0]
767,[27497.849609375],[31438.0]
768,[11638.8994140625],[16500.0]
769,[1056.21533203125],[7350.0]
770,[3604.65771484375],[35000.0]
771,[11006.1171875],[23290.0]
772,[16503.744140625],[22260.0]
773,[20290.341796875],[24732.0]
774,[16105.3408203125],[25615.0]
775,[1744.22314453125],[7739.0]
776,[28434.744140625],[39326.0]
777,[35713.8203125],[43400.0]
778,[25006.388671875],[10000.0]
779,[24162.130859375],[944.0]
780,[6998.34765625],[21270.0]
781,[5354.76025390625],[36190.0]
782,[713.4844970703125],[24263.0]
783,[26834.46875],[24750.0]
784,[19826.232421875],[51370.0]
785,[8978.52734375],[39900.0]
786,[25201.46875],[19405.0]
787,[10371.3837890625],[35000.0]
788,[1813.31298828125],[20665.0]
789,[37669.16796875],[11475.0]
790,[7606.23193359375],[29323.0]
791,[19354.85546875],[20856.0]
792,[6000.33447265625],[28076.0]
793,[51876.203125],[7555.0]
794,[31639.369140625],[38164.0]
795,[34513.2109375],[31217.0]
796,[16848.091796875],[25840.0]
797,[8660.3369140625],[35082.0]
798,[17522.810546875],[52250.0]
799,[25679.974609375],[26876.0]
800,[19388.689453125],[34129.0]
801,[38169.6640625],[9002.0]
802,[31279.546875],[23950.0]
803,[31041.61328125],[30082.0]
804,[7219.4482421875],[30180.0]
805,[15052.6728515625],[22137.0]
806,[21535.48828125],[39295.0]
807,[32200.279296875],[50750.0]
808,[32836.34375],[28815.0]
809,[21827.64453125],[20905.0]
810,[14749.0234375],[44400.0]
811,[28102.29296875],[3459.0]
812,[1656.657470703125],[23256.0]
813,[8500.5146484375],[31648.0]
