,prediction,test
431,[16793.482],[15161.]
432,[37857.58],[40042.]
433,[34929.938],[33486.]
434,[39182.91],[35190.]
435,[24896.465],[34318.]
436,[15142.605],[13545.]
437,[16590.96],[11999.]
438,[10597.347],[4999.]
439,[24049.156],[30740.]
440,[30048.79],[40840.]
441,[39857.008],[37692.]
442,[28559.338],[34551.]
443,[15980.081],[18045.]
444,[25009.594],[31000.]
445,[24933.158],[15477.]
446,[23925.848],[26629.]
447,[5981.8223],[12205.]
448,[28447.709],[27409.]
449,[26992.059],[27554.]
450,[18624.057],[17224.]
451,[32283.916],[34351.]
452,[26420.3],[30793.]
453,[27564.135],[33116.]
454,[38704.26],[36919.]
455,[23379.322],[26284.]
456,[22653.162],[23000.]
457,[25754.43],[30049.]
458,[14929.057],[11111.]
459,[23599.422],[35400.]
460,[34932.574],[34500.]
461,[23472.805],[22261.]
462,[30287.762],[43456.]
463,[22678.412],[25443.]
464,[34292.484],[32337.]
465,[39333.676],[43900.]
466,[17024.709],[16483.]
467,[9484.955],[9149.]
468,[36796.996],[34816.]
469,[16296.788],[17863.]
470,[33741.402],[35300.]
471,[27879.418],[29309.]
472,[38642.77],[44900.]
473,[20140.107],[16708.]
474,[34664.773],[41650.]
475,[5529.9487],[18545.]
476,[40192.133],[42400.]
477,[20496.402],[31095.]
478,[29022.81],[29077.]
479,[38064.582],[39421.]
480,[23145.596],[27567.]
481,[25771.95],[25222.]
482,[38052.58],[44650.]
483,[33768.996],[41900.]
484,[20921.865],[23945.]
485,[25916.553],[37741.]
486,[27464.475],[38221.]
487,[18798.2],[19207.]
488,[39642.383],[42000.]
489,[31780.223],[28298.]
490,[25888.15],[21784.]
491,[25754.44],[25500.]
492,[18277.998],[20903.]
493,[32247.693],[30322.]
494,[21700.254],[26991.]
495,[10929.129],[7599.]
496,[24553.2],[28139.]
497,[34025.027],[37777.]
498,[28557.463],[32008.]
499,[23846.027],[18628.]
500,[33427.754],[40555.]
501,[39252.34],[37245.]
502,[24080.389],[19995.]
503,[46788.773],[51900.]
504,[32972.652],[30500.]
505,[22611.139],[25268.]
506,[43554.91],[42041.]
507,[28463.725],[43386.]
508,[29739.04],[22995.]
509,[33982.73],[31705.]
510,[29292.992],[34542.]
511,[21349.533],[19516.]
512,[11830.13],[11999.]
513,[18277.854],[18999.]
514,[36164.027],[38400.]
515,[31039.47],[31012.]
516,[21158.955],[20999.]
517,[23831.957],[22949.]
518,[23061.482],[25180.]
519,[34246.645],[37347.]
520,[37689.79],[36950.]
521,[25946.824],[32259.]
522,[53107.195],[64796.]
523,[9581.699],[12937.]
524,[31629.162],[42250.]
525,[38571.22],[45314.]
526,[31988.75],[33063.]
527,[28725.309],[27777.]
528,[25603.549],[23214.]
529,[43663.79],[42172.]
530,[37779.81],[37151.]
531,[31889.25],[38095.]
532,[33222.223],[36347.]
533,[20266.686],[25245.]
534,[22060.018],[19942.]
535,[34219.695],[43028.]
536,[27558.32],[33961.]
537,[17097.066],[20825.]
538,[38752.6],[39000.]
539,[24118.986],[27900.]
540,[33484.56],[39747.]
541,[25701.303],[26979.]
542,[27184.451],[24614.]
543,[20703.256],[23187.]
544,[28851.09],[32000.]
545,[48353.402],[38811.]
546,[33017.49],[30500.]
547,[30232.693],[28100.]
548,[13240.89],[11999.]
549,[9589.505],[17150.]
550,[25025.03],[30600.]
551,[32156.629],[30480.]
552,[6250.7676],[3500.]
553,[24236.387],[32202.]
554,[38645.6],[37736.]
555,[25604.559],[23927.]
556,[25482.652],[37650.]
557,[35942.95],[35597.]
558,[6221.7627],[1999.]
559,[26035.459],[21684.]
560,[23468.932],[23159.]
561,[35921.42],[34307.]
562,[21682.818],[8555.]
563,[29002.953],[36032.]
564,[42031.86],[43196.]
565,[37959.688],[36500.]
566,[26326.943],[29307.]
567,[28129.59],[34387.]
568,[33604.207],[38709.]
569,[39068.344],[40930.]
570,[19342.96],[16922.]
571,[30999.936],[31917.]
572,[58417.07],[49000.]
573,[31419.457],[32625.]
574,[25132.414],[28627.]
575,[33104.004],[30273.]
576,[12203.197],[13090.]
577,[41545.273],[38600.]
578,[37048.594],[44900.]
579,[29647.023],[30090.]
580,[5802.5835],[1200.]
581,[25895.592],[22908.]
582,[10864.371],[9732.]
583,[39005.65],[38888.]
584,[18051.092],[18797.]
585,[26134.088],[25069.]
586,[33635.52],[34848.]
587,[13840.058],[8050.]
588,[28466.756],[33643.]
589,[28391.682],[27947.]
590,[51018.633],[47962.]
591,[18414.027],[20109.]
592,[25335.922],[25295.]
593,[32800.406],[35307.]
594,[25587.807],[26666.]
595,[23998.346],[27777.]
596,[32454.264],[29709.]
597,[25364.314],[30110.]
598,[41460.98],[39000.]
599,[33751.777],[33696.]
600,[23801.158],[27001.]
601,[38195.168],[36254.]
602,[10498.354],[10999.]
603,[46182.17],[56850.]
604,[31876.348],[39988.]
605,[21704.373],[25359.]
606,[20866.705],[11999.]
607,[26411.695],[23995.]
608,[19625.19],[21587.]
609,[21735.371],[18336.]
610,[25916.137],[32225.]
611,[17969.756],[9955.]
612,[13047.075],[7997.]
613,[15900.64],[11999.]
614,[20065.977],[19916.]
615,[12733.951],[15120.]
616,[18696.025],[18700.]
617,[26500.96],[34073.]
618,[18579.088],[18140.]
619,[18668.133],[13523.]
620,[18682.902],[11525.]
621,[7921.588],[4000.]
622,[43318.996],[50288.]
623,[24945.643],[28379.]
624,[38797.605],[41591.]
625,[54799.812],[57250.]
626,[14978.5625],[14310.]
627,[27123.904],[25437.]
628,[43197.03],[45698.]
629,[25003.27],[35400.]
630,[31417.822],[28325.]
631,[21056.195],[25060.]
632,[48962.273],[50650.]
633,[7973.2715],[2000.]
634,[10825.697],[7453.]
635,[23070.254],[32621.]
636,[15127.725],[15500.]
637,[40056.637],[35526.]
638,[34960.65],[42104.]
639,[14143.518],[6597.]
640,[29125.385],[23819.]
641,[36910.76],[33500.]
642,[22814.928],[34500.]
643,[29510.143],[32080.]
644,[30748.877],[36112.]
645,[40555.688],[43954.]
646,[25230.824],[23375.]
647,[36263.137],[35888.]
648,[32715.54],[37672.]
649,[19997.344],[11595.]
650,[21128.738],[16563.]
651,[20095.07],[18524.]
652,[26753.352],[26624.]
653,[30663.562],[27965.]
654,[29903.885],[35519.]
655,[27346.299],[34400.]
656,[27191.354],[22997.]
657,[11285.147],[10000.]
658,[37478.73],[41225.]
659,[18778.588],[21119.]
660,[18454.277],[21374.]
661,[23967.209],[17970.]
662,[25682.258],[22185.]
663,[49495.29],[52988.]
664,[15285.579],[11999.]
665,[10985.437],[8194.]
666,[13048.939],[11999.]
667,[30030.35],[26423.]
668,[25795.05],[32119.]
669,[8148.2627],[2899.]
670,[33862.496],[29604.]
671,[6156.178],[499.]
672,[29317.879],[27574.]
673,[26265.994],[23731.]
674,[34862.914],[40488.]
675,[30017.746],[29743.]
676,[6986.9844],[1197.]
677,[12259.864],[10999.]
678,[26744.291],[34036.]
679,[22294.002],[33236.]
680,[28728.508],[26265.]
681,[44645.97],[45055.]
682,[24120.24],[25121.]
683,[15527.559],[15795.]
684,[51422.625],[51650.]
685,[25911.264],[28968.]
686,[27062.516],[23999.]
687,[16547.463],[25750.]
688,[32207.99],[37843.]
689,[15227.585],[6997.]
690,[14957.296],[23816.]
691,[26919.775],[29937.]
692,[41381.81],[41047.]
693,[25554.77],[21187.]
694,[38939.07],[36226.]
695,[26793.18],[37267.]
696,[43566.023],[43626.]
697,[24225.424],[26469.]
698,[11040.82],[16601.]
699,[26855.63],[23035.]
700,[22566.574],[19759.]
701,[14731.801],[11101.]
702,[8921.081],[4423.]
703,[7753.2773],[8999.]
704,[29045.363],[24350.]
705,[25624.43],[31338.]
706,[28734.924],[25228.]
707,[38847.445],[37850.]
708,[29075.566],[23415.]
709,[24112.342],[20999.]
710,[15367.578],[15000.]
711,[31355.129],[29240.]
712,[29074.932],[32695.]
713,[42943.617],[47389.]
714,[26211.904],[33363.]
715,[36294.54],[40650.]
716,[30120.2],[25708.]
717,[34020.145],[37878.]
718,[11805.624],[11999.]
719,[25982.102],[22808.]
720,[38648.55],[28129.]
721,[17213.162],[7555.]
722,[23173.21],[28805.]
723,[15649.736],[17188.]
724,[19147.021],[21133.]
725,[16136.698],[16594.]
726,[32093.227],[30295.]
727,[13934.71],[11427.]
728,[22806.338],[29046.]
729,[18864.447],[18840.]
730,[38951.727],[38125.]
731,[31503.195],[41150.]
732,[23814.496],[23800.]
733,[36294.824],[40000.]
734,[21274.553],[20294.]
735,[6885.0938],[8880.]
736,[24525.895],[21990.]
737,[20479.084],[24027.]
738,[32853.992],[34549.]
739,[20257.775],[17425.]
740,[16660.256],[11999.]
741,[17932.66],[19279.]
742,[36467.055],[32670.]
743,[33582.832],[31907.]
744,[38622.098],[35500.]
745,[32876.133],[34730.]
746,[31026.07],[32629.]
747,[44766.996],[51150.]
748,[40277.957],[41111.]
749,[22300.346],[18988.]
750,[29803.021],[28221.]
751,[20842.064],[14997.]
752,[17743.684],[18000.]
753,[22654.855],[23030.]
754,[31096.816],[28907.]
755,[32720.99],[30121.]
756,[32337.357],[32031.]
757,[25562.799],[22500.]
758,[24524.535],[19062.]
759,[21563.807],[30458.]
760,[24419.402],[19995.]
761,[15864.437],[11955.]
762,[17236.482],[25790.]
763,[38217.97],[43628.]
764,[26531.227],[28878.]
765,[36507.04],[36728.]
766,[7543.2],[2123.]
767,[32614.06],[29841.]
768,[12831.775],[10999.]
769,[36366.824],[34216.]
770,[26616.223],[30620.]
771,[21586.777],[13634.]
772,[23493.066],[16887.]
773,[34815.47],[31111.]
774,[31720.152],[33867.]
775,[19527.492],[21139.]
776,[23383.928],[12047.]
777,[8085.6675],[8400.]
778,[20137.434],[26162.]
779,[22538.42],[23414.]
780,[26418.383],[24120.]
781,[44704.348],[46409.]
782,[39851.36],[38000.]
783,[26899.033],[33000.]
784,[23080.39],[27750.]
785,[16247.694],[19692.]
786,[37322.066],[40839.]
787,[11900.097],[5557.]
788,[22766.715],[21150.]
789,[33844.953],[43929.]
790,[30684.814],[35440.]
791,[9943.413],[18838.]
792,[21447.812],[22840.]
793,[45454.188],[43700.]
794,[15111.867],[18439.]
795,[34323.367],[34884.]
796,[40865.375],[39132.]
797,[29700.723],[26376.]
798,[38874.848],[35339.]
799,[28327.852],[31648.]
800,[46560.324],[42000.]
801,[31091.271],[28608.]
802,[32870.617],[33097.]
803,[19859.81],[19798.]
804,[32652.977],[33119.]
805,[19695.764],[21217.]
806,[28330.48],[25243.]
807,[13696.695],[11999.]
808,[21646.82],[20999.]
809,[20537.604],[22020.]
810,[34705.652],[41241.]
811,[24479.777],[22150.]
812,[35233.008],[28954.]
813,[31379.25],[35190.]
814,[35276.72],[38237.]
815,[39328.688],[41187.]
816,[22133.04],[26938.]
817,[26808.523],[28209.]
818,[28030.404],[20898.]
819,[12997.967],[10999.]
820,[18533.242],[22879.]
821,[28605.928],[25714.]
822,[29789.299],[41472.]
823,[20277.117],[21600.]
824,[20250.54],[22015.]
825,[29781.744],[26944.]
826,[17786.424],[20966.]
827,[36998.934],[35298.]
828,[35874.902],[35424.]
829,[13376.82],[10999.]
830,[37115.4],[40744.]
831,[34645.703],[30747.]
832,[17682.744],[24133.]
833,[35387.566],[39750.]
834,[30143.68],[29942.]
835,[7481.0957],[6327.]
836,[44069.625],[43332.]
837,[20624.762],[24366.]
838,[24338.953],[20535.]
839,[24855.396],[24230.]
840,[28862.26],[25385.]
841,[25914.205],[25374.]
842,[27470.117],[22307.]
843,[31987.262],[33592.]
844,[22400.812],[21013.]
845,[28793.582],[36713.]
846,[45644.504],[47400.]
847,[49867.01],[38748.]
848,[26632.043],[34154.]
849,[27930.824],[24996.]
850,[31109.559],[29833.]
851,[43100.613],[43160.]
852,[24627.35],[21192.]
853,[25214.24],[20999.]
854,[25809.586],[33016.]
855,[25137.387],[24689.]
856,[14629.754],[11999.]
857,[24037.568],[24900.]
858,[36129.305],[34769.]
859,[22610.207],[10955.]
860,[21286.89],[22645.]
861,[15476.322],[20652.]
862,[36953.703],[35149.]
863,[23127.568],[26659.]
864,[37854.426],[32300.]
865,[41317.81],[41163.]
866,[13825.713],[11999.]
867,[32952.477],[30522.]
868,[31638.617],[33276.]
869,[22475.826],[32221.]
870,[21870.176],[20816.]
871,[23022.162],[26606.]
872,[14512.595],[17031.]
873,[19821.918],[17504.]
874,[24766.79],[22676.]
875,[6614.5244],[1792.]
876,[20620.742],[20569.]
877,[15857.765],[12161.]
878,[36502.81],[34466.]
879,[11838.551],[14997.]
880,[22239.002],[25476.]
881,[23582.346],[22556.]
882,[21285.262],[26400.]
883,[27505.727],[25077.]
884,[21007.402],[23857.]
885,[26868.402],[22212.]
886,[28195.527],[26087.]
887,[38869.723],[41663.]
888,[38762.152],[42900.]
889,[33657.234],[34900.]
890,[19473.361],[20009.]
891,[50592.535],[38632.]
892,[31577.701],[36931.]
893,[43016.22],[44650.]
894,[45452.977],[50302.]
895,[27236.67],[25449.]
896,[4500.127],[2000.]
897,[22118.482],[27063.]
898,[40622.484],[45788.]
899,[26616.514],[26334.]
900,[29711.559],[35717.]
901,[39185.746],[37250.]
902,[31417.45],[31754.]
903,[21387.666],[23375.]
904,[30590.023],[28991.]
905,[6604.408],[3997.]
906,[16210.341],[23290.]
907,[20411.166],[19040.]
908,[12341.746],[10999.]
909,[29181.496],[38853.]
910,[9554.065],[6000.]
911,[19588.832],[21578.]
912,[17256.178],[17198.]
913,[27701.56],[36202.]
914,[29884.47],[33851.]
915,[39947.453],[40000.]
916,[12874.278],[10999.]
917,[26154.07],[33535.]
918,[31222.207],[38605.]
919,[6318.355],[5750.]
920,[23676.266],[17202.]
921,[23966.523],[21421.]
922,[34550.55],[31900.]
923,[30482.707],[42900.]
924,[14419.559],[13956.]
925,[19357.725],[15250.]
926,[28526.682],[28815.]
927,[10548.319],[11648.]
928,[28217.912],[24996.]
929,[34097.344],[35383.]
930,[22096.074],[30912.]
931,[17504.676],[14117.]
932,[38101.168],[41351.]
933,[7171.797],[2797.]
934,[32476.254],[31489.]
935,[6209.507],[4200.]
936,[31824.775],[23000.]
937,[28217.986],[30619.]
938,[23765.732],[26828.]
939,[23915.742],[30839.]
940,[21612.309],[26537.]
941,[24150.941],[34000.]
942,[27742.025],[29432.]
943,[18922.975],[13866.]
944,[18482.84],[20133.]
945,[36348.504],[39897.]
946,[31592.893],[32419.]
947,[29134.803],[34656.]
948,[27902.896],[27285.]
949,[39374.43],[44650.]
950,[26237.613],[23477.]
951,[44430.688],[60565.]
952,[13187.272],[20289.]
953,[36796.996],[35929.]
954,[38500.816],[43500.]
955,[41725.008],[40162.]
956,[36158.508],[36667.]
957,[29904.742],[28739.]
958,[21312.645],[30322.]
959,[34279.656],[38796.]
960,[30390.186],[36176.]
961,[37304.715],[43400.]
962,[23802.5],[23037.]
963,[40075.89],[40700.]
964,[31745.156],[29537.]
965,[35958.97],[39612.]
966,[28773.13],[26226.]
967,[29828.229],[33825.]
968,[7197.708],[6999.]
969,[37847.17],[44900.]
970,[17333.277],[21011.]
971,[34377.266],[35400.]
972,[19966.564],[7555.]
973,[38826.28],[38575.]
974,[43849.49],[45012.]
975,[21768.717],[21229.]
976,[48044.594],[50209.]
977,[21512.252],[17831.]
978,[24359.688],[23999.]
979,[30454.32],[25662.]
980,[17043.77],[14069.]
981,[22298.926],[26914.]
982,[21820.979],[32529.]
983,[27941.14],[30901.]
984,[31235.36],[38461.]
985,[26863.701],[27477.]
986,[26930.963],[26960.]
987,[26266.564],[28570.]
988,[32418.014],[31247.]
989,[75975.67],[81666.]
990,[22270.982],[12192.]
991,[20251.688],[21731.]
992,[22869.31],[18275.]
993,[28222.76],[26512.]
994,[26087.012],[26110.]
995,[38942.492],[40734.]
996,[23745.1],[21650.]
