,prediction,test
226,[16306.5830078125],[21965.0]
227,[34242.19140625],[18999.0]
228,[22482.623046875],[24990.0]
229,[25144.033203125],[32747.0]
230,[7404.09423828125],[1000.0]
231,[40880.48828125],[28916.0]
232,[4131.86865234375],[46848.0]
233,[49534.34765625],[30983.0]
234,[7079.67626953125],[40280.0]
235,[19973.751953125],[42650.0]
236,[16697.12890625],[14117.0]
237,[14049.8623046875],[29500.0]
238,[15239.2353515625],[34778.0]
239,[13641.0888671875],[24258.0]
240,[18658.162109375],[2497.0]
241,[3204.449951171875],[6500.0]
242,[27394.814453125],[58413.0]
243,[2895.351806640625],[34341.0]
244,[36403.77734375],[33951.0]
245,[14289.7373046875],[27176.0]
246,[19496.958984375],[36271.0]
247,[28977.236328125],[20485.0]
248,[19662.140625],[2200.0]
249,[8761.896484375],[34463.0]
250,[35161.890625],[26734.0]
251,[41260.703125],[43789.0]
252,[32816.01171875],[44000.0]
253,[24398.439453125],[21603.0]
254,[41915.74609375],[30727.0]
255,[23457.068359375],[32852.0]
256,[24354.16015625],[19544.0]
257,[44878.83984375],[20999.0]
258,[2216.55517578125],[27965.0]
259,[7992.25244140625],[36361.0]
260,[25877.46875],[21217.0]
261,[24303.849609375],[24439.0]
262,[19003.708984375],[20799.0]
263,[9056.771484375],[32412.0]
264,[15332.576171875],[40150.0]
265,[4686.08056640625],[30787.0]
266,[32666.71875],[42952.0]
267,[33840.30859375],[2500.0]
268,[4777.42431640625],[20144.0]
269,[24868.0],[37749.0]
270,[25161.537109375],[28065.0]
271,[5639.00390625],[25188.0]
272,[7234.19970703125],[34387.0]
273,[10491.4560546875],[25945.0]
274,[22283.443359375],[17564.0]
275,[8467.7255859375],[30084.0]
276,[8945.0087890625],[41515.0]
277,[8756.3876953125],[39266.0]
278,[11980.8173828125],[40818.0]
279,[3211.756591796875],[3600.0]
280,[38129.62109375],[20999.0]
281,[35611.078125],[32783.0]
282,[6795.13134765625],[22884.0]
283,[35419.88671875],[26950.0]
284,[6377.42138671875],[15500.0]
285,[7627.14794921875],[16095.0]
286,[1533.8505859375],[9891.0]
287,[43572.33984375],[21990.0]
288,[9752.7021484375],[29670.0]
289,[3787.738525390625],[4800.0]
290,[22123.626953125],[41566.0]
291,[9616.1591796875],[18711.0]
292,[27282.591796875],[30614.0]
293,[37256.7890625],[15363.0]
294,[31349.1015625],[37334.0]
295,[30989.037109375],[36406.0]
296,[13156.251953125],[24794.0]
297,[43818.23046875],[26025.0]
298,[25079.42578125],[26137.0]
299,[7749.64111328125],[28627.0]
300,[36342.39453125],[11999.0]
301,[4881.64892578125],[27845.0]
302,[6774.595703125],[31771.0]
303,[47812.87890625],[26507.0]
304,[13751.5556640625],[6875.0]
305,[10825.1806640625],[34500.0]
306,[29218.259765625],[18815.0]
307,[40484.80078125],[30775.0]
308,[25191.078125],[16200.0]
309,[10562.3037109375],[21000.0]
310,[18202.93359375],[16915.0]
311,[25103.873046875],[28229.0]
312,[20083.056640625],[18384.0]
313,[11636.8427734375],[13999.0]
314,[13344.1435546875],[8000.0]
315,[38951.1953125],[4597.0]
316,[12912.3330078125],[35486.0]
317,[37446.55859375],[33416.0]
318,[15310.39453125],[34835.0]
319,[20276.955078125],[43900.0]
320,[15719.056640625],[18000.0]
321,[30169.681640625],[34010.0]
322,[11189.689453125],[45482.0]
323,[26262.712890625],[34995.0]
324,[7451.45751953125],[16828.0]
325,[1878.688720703125],[3000.0]
326,[10921.2119140625],[34848.0]
327,[24484.486328125],[27468.0]
328,[18389.84765625],[23844.0]
329,[24056.533203125],[23500.0]
330,[8956.1328125],[26242.0]
331,[21987.8125],[23656.0]
332,[35778.97265625],[19848.0]
333,[16679.71875],[18353.0]
334,[4283.81005859375],[27965.0]
335,[27908.36328125],[32646.0]
336,[4074.428466796875],[31362.0]
337,[15367.4013671875],[39352.0]
338,[29382.873046875],[23077.0]
339,[32836.7890625],[38551.0]
340,[21844.513671875],[54900.0]
341,[14719.5751953125],[25977.0]
342,[19844.646484375],[42925.0]
343,[21786.646484375],[23155.0]
344,[9965.9677734375],[19995.0]
345,[20289.99609375],[1939.0]
346,[23078.541015625],[46200.0]
347,[15129.4130859375],[25248.0]
348,[5074.22705078125],[53900.0]
349,[28440.76953125],[23995.0]
350,[60488.93359375],[7555.0]
351,[36448.58984375],[26588.0]
352,[22055.251953125],[22227.0]
353,[34582.83203125],[13999.0]
354,[32685.38671875],[6955.0]
355,[33815.94140625],[8995.0]
356,[29112.7734375],[28916.0]
357,[30144.44921875],[43840.0]
358,[30840.158203125],[16484.0]
359,[42558.69140625],[23502.0]
360,[26631.392578125],[39649.0]
361,[17219.173828125],[45309.0]
362,[17816.66796875],[56850.0]
363,[10632.5625],[1500.0]
364,[977.2483520507812],[22741.0]
365,[36267.83203125],[455.0]
366,[25689.390625],[11999.0]
367,[19082.373046875],[24650.0]
368,[26979.8125],[34995.0]
369,[49154.76953125],[10705.0]
370,[34329.48046875],[32274.0]
371,[39698.58203125],[22500.0]
372,[13465.84375],[42851.0]
373,[7399.8408203125],[24871.0]
374,[12771.1123046875],[8200.0]
375,[14651.57421875],[23522.0]
376,[35014.17578125],[41150.0]
377,[12930.47265625],[47450.0]
378,[6191.30322265625],[21818.0]
379,[22785.650390625],[20309.0]
380,[8867.3056640625],[3700.0]
381,[32025.873046875],[26857.0]
382,[23237.349609375],[36360.0]
383,[40615.39453125],[17869.0]
384,[33609.09375],[34073.0]
385,[33301.22265625],[11999.0]
386,[34537.94921875],[31111.0]
387,[45619.40234375],[43400.0]
388,[41316.06640625],[23294.0]
389,[33462.56640625],[6000.0]
390,[33939.37109375],[12765.0]
391,[23102.60546875],[1999.0]
392,[36715.625],[40301.0]
393,[7194.64208984375],[20296.0]
394,[6873.162109375],[21217.0]
395,[30532.587890625],[28401.0]
396,[27172.974609375],[36177.0]
397,[12190.0888671875],[13220.0]
398,[28199.91015625],[32207.0]
399,[12251.1806640625],[27327.0]
400,[6320.28662109375],[40243.0]
401,[10891.4365234375],[20735.0]
402,[16064.8505859375],[43400.0]
403,[6599.3525390625],[33650.0]
404,[7292.53466796875],[27000.0]
405,[28263.375],[24724.0]
406,[27939.775390625],[21026.0]
407,[21047.912109375],[22270.0]
408,[8478.5556640625],[18000.0]
409,[16823.583984375],[3700.0]
410,[32968.6640625],[50567.0]
411,[21564.337890625],[18912.0]
412,[23121.75],[32765.0]
413,[8891.619140625],[35371.0]
414,[5614.86962890625],[1400.0]
415,[27897.986328125],[11800.0]
416,[18809.498046875],[23457.0]
417,[36141.7890625],[13469.0]
418,[12296.7841796875],[49500.0]
419,[4150.01904296875],[29665.0]
420,[33579.97265625],[45000.0]
421,[10829.0146484375],[23659.0]
422,[37989.3203125],[27098.0]
423,[10670.0419921875],[25539.0]
424,[3484.088623046875],[26573.0]
425,[13996.4208984375],[20487.0]
426,[4869.92626953125],[43500.0]
427,[14326.9697265625],[31879.0]
428,[12240.140625],[44150.0]
429,[30500.41796875],[11999.0]
430,[3959.066650390625],[16200.0]
431,[21805.779296875],[20382.0]
432,[23987.33984375],[31716.0]
433,[11217.009765625],[11999.0]
434,[26432.392578125],[38835.0]
435,[37370.96484375],[36790.0]
436,[529.8055419921875],[18144.0]
437,[38804.16796875],[40633.0]
438,[6309.58642578125],[23500.0]
439,[27944.244140625],[27511.0]
440,[25103.427734375],[3999.0]
441,[17288.537109375],[40752.0]
442,[2402.887939453125],[3650.0]
443,[11578.7509765625],[40641.0]
444,[39350.203125],[19161.0]
445,[14736.7119140625],[26327.0]
446,[30143.779296875],[54500.0]
447,[34765.10546875],[23065.0]
448,[15894.880859375],[29937.0]
449,[13874.7666015625],[32275.0]
450,[28613.439453125],[31280.0]
451,[41381.375],[34444.0]
452,[3491.310302734375],[14955.0]
453,[10204.5986328125],[30470.0]
454,[12399.578125],[23000.0]
455,[46902.6171875],[21966.0]
456,[20960.5703125],[1400.0]
457,[15994.6611328125],[10999.0]
458,[9786.9619140625],[49500.0]
459,[7767.71826171875],[19814.0]
460,[19347.998046875],[19762.0]
461,[2938.48388671875],[22723.0]
462,[14829.5439453125],[36331.0]
463,[26629.216796875],[10383.0]
464,[4316.35400390625],[39725.0]
465,[6788.14208984375],[19995.0]
466,[3159.592041015625],[9421.0]
467,[5982.7841796875],[29525.0]
468,[16349.0712890625],[37663.0]
469,[21968.083984375],[40800.0]
470,[27813.806640625],[39372.0]
471,[4289.28564453125],[34709.0]
472,[19276.330078125],[32000.0]
473,[22886.044921875],[32096.0]
474,[8117.14208984375],[39021.0]
475,[24996.9609375],[39889.0]
476,[16136.4365234375],[26752.0]
477,[26919.19921875],[54500.0]
478,[20118.275390625],[26265.0]
479,[26183.923828125],[44192.0]
480,[29021.126953125],[24780.0]
481,[4542.13525390625],[11350.0]
482,[7512.88671875],[10000.0]
483,[28629.990234375],[18000.0]
484,[33691.16015625],[34474.0]
485,[38890.62890625],[20475.0]
486,[10726.9384765625],[49792.0]
487,[23746.7578125],[30067.0]
488,[14262.3330078125],[3500.0]
489,[26496.4375],[10999.0]
490,[14224.1220703125],[1000.0]
491,[22315.029296875],[26500.0]
492,[24899.220703125],[26622.0]
493,[10282.662109375],[21096.0]
494,[21357.177734375],[39226.0]
495,[19808.376953125],[9499.0]
496,[33449.9765625],[32250.0]
497,[27435.47265625],[14457.0]
498,[20129.162109375],[31305.0]
499,[21378.126953125],[23293.0]
500,[16469.068359375],[50500.0]
501,[16656.810546875],[27435.0]
502,[19624.583984375],[30322.0]
503,[43409.546875],[18356.0]
504,[13141.8935546875],[5000.0]
505,[4343.17138671875],[27678.0]
506,[21278.166015625],[28186.0]
507,[23942.908203125],[23436.0]
508,[13757.1982421875],[47459.0]
509,[6341.83642578125],[23696.0]
510,[13598.9033203125],[550.0]
511,[2088.6904296875],[32334.0]
512,[22898.298828125],[24125.0]
513,[15396.28125],[41187.0]
514,[26628.794921875],[23267.0]
515,[28570.33984375],[33349.0]
516,[3606.06787109375],[22000.0]
517,[11164.8017578125],[32228.0]
518,[19714.302734375],[37694.0]
519,[33456.56640625],[24472.0]
520,[22657.541015625],[25770.0]
521,[7346.22802734375],[28400.0]
522,[24749.125],[1555.0]
523,[7360.7548828125],[33490.0]
524,[16894.40625],[23336.0]
525,[27121.4765625],[30109.0]
526,[30452.1640625],[11174.0]
527,[3882.929931640625],[26160.0]
528,[35418.4375],[34444.0]
529,[2445.396728515625],[20623.0]
530,[45120.0546875],[10999.0]
531,[44368.19921875],[31853.0]
532,[57261.92578125],[31156.0]
533,[30501.326171875],[16682.0]
534,[10481.1611328125],[40714.0]
535,[14082.0830078125],[15600.0]
536,[26440.240234375],[34888.0]
537,[29960.6171875],[20974.0]
538,[12841.3154296875],[21512.0]
539,[24270.802734375],[39738.0]
540,[48552.15625],[32020.0]
541,[27881.11328125],[16199.0]
542,[15985.73828125],[37387.0]
543,[15360.5751953125],[2500.0]
544,[6448.22119140625],[31222.0]
545,[14820.16015625],[14122.0]
546,[14868.359375],[44804.0]
547,[15939.8359375],[43456.0]
548,[33226.08203125],[24500.0]
549,[12396.7412109375],[45127.0]
550,[8357.646484375],[23250.0]
551,[25918.14453125],[11999.0]
552,[44348.2734375],[21286.0]
553,[10909.9501953125],[29499.0]
554,[17961.474609375],[32855.0]
555,[11058.3056640625],[27400.0]
556,[5367.08935546875],[19995.0]
557,[27268.6875],[38910.0]
558,[40131.47265625],[22334.0]
559,[5731.59130859375],[22372.0]
560,[54125.9921875],[34388.0]
561,[14410.13671875],[1100.0]
562,[6434.97802734375],[26877.0]
563,[14822.0849609375],[34427.0]
564,[29086.037109375],[28615.0]
565,[33981.23046875],[24044.0]
566,[18353.998046875],[33276.0]
567,[22412.162109375],[39497.0]
568,[5882.34619140625],[33063.0]
569,[25990.033203125],[34500.0]
570,[3230.309326171875],[37393.0]
571,[25618.248046875],[21390.0]
572,[24936.109375],[38269.0]
573,[39511.06640625],[35170.0]
574,[2995.821533203125],[42500.0]
575,[15965.8876953125],[38381.0]
576,[9543.861328125],[30512.0]
577,[43576.72265625],[14708.0]
578,[3061.12890625],[18819.0]
579,[13245.4990234375],[18344.0]
580,[21451.796875],[36405.0]
581,[21009.775390625],[38204.0]
582,[5615.20361328125],[19000.0]
583,[28784.787109375],[42543.0]
584,[16323.3154296875],[35222.0]
585,[6454.30712890625],[44703.0]
586,[18529.888671875],[33508.0]
587,[22759.603515625],[39734.0]
588,[16817.162109375],[22530.0]
589,[23798.08203125],[7997.0]
590,[15540.466796875],[35446.0]
591,[29525.923828125],[22202.0]
592,[22359.521484375],[37605.0]
593,[22438.75390625],[46750.0]
594,[16401.4453125],[39404.0]
595,[28495.03125],[25214.0]
596,[46011.890625],[12995.0]
597,[28838.919921875],[36800.0]
598,[14361.265625],[33969.0]
599,[28370.8046875],[20135.0]
600,[26658.771484375],[19848.0]
601,[18995.068359375],[31031.0]
602,[19865.697265625],[24618.0]
603,[14245.4814453125],[27390.0]
604,[37333.0625],[34444.0]
605,[21105.076171875],[56600.0]
606,[5399.31591796875],[18293.0]
607,[33973.16015625],[30567.0]
608,[24394.298828125],[33318.0]
609,[15544.796875],[21600.0]
610,[12672.5478515625],[10098.0]
611,[4554.85546875],[24534.0]
612,[33487.7265625],[39877.0]
613,[24775.439453125],[19725.0]
614,[35161.1484375],[17200.0]
615,[25210.857421875],[27844.0]
616,[29547.662109375],[20664.0]
617,[32798.2265625],[18217.0]
618,[20437.40625],[37562.0]
619,[18669.224609375],[27447.0]
620,[31311.88671875],[35085.0]
621,[29043.173828125],[11999.0]
622,[9960.97265625],[41328.0]
623,[28967.107421875],[67939.0]
624,[43046.03515625],[999.0]
625,[37659.41015625],[1999.0]
626,[27241.619140625],[2797.0]
627,[13975.9111328125],[2700.0]
628,[4609.3779296875],[5390.0]
629,[43621.67578125],[17246.0]
630,[6698.927734375],[16450.0]
631,[18966.888671875],[28537.0]
632,[15618.1669921875],[17786.0]
633,[18162.044921875],[18773.0]
634,[18396.5078125],[36298.0]
635,[33349.125],[49817.0]
636,[14685.8623046875],[499.0]
637,[33407.52734375],[21848.0]
638,[21809.376953125],[25111.0]
639,[31016.740234375],[44400.0]
640,[25878.416015625],[42403.0]
641,[20447.029296875],[33575.0]
642,[8705.623046875],[16508.0]
643,[27950.208984375],[12995.0]
644,[21897.357421875],[24799.0]
645,[2652.900634765625],[30620.0]
646,[3114.216064453125],[10999.0]
647,[3571.237548828125],[23276.0]
648,[6459.18115234375],[24995.0]
649,[1132.94287109375],[21270.0]
650,[18586.525390625],[23408.0]
651,[28013.44140625],[6995.0]
652,[9878.404296875],[23018.0]
653,[7855.13720703125],[29589.0]
654,[6599.15185546875],[24481.0]
655,[15455.3271484375],[25572.0]
656,[12496.7392578125],[11950.0]
657,[11742.4150390625],[19264.0]
658,[18576.751953125],[23698.0]
659,[18313.3984375],[23712.0]
660,[21165.705078125],[38655.0]
661,[21637.44140625],[23831.0]
662,[24823.05859375],[26235.0]
663,[33083.10546875],[30942.0]
664,[19026.83984375],[27752.0]
665,[12994.689453125],[30090.0]
666,[10685.2119140625],[25472.0]
667,[27404.615234375],[32119.0]
668,[16501.021484375],[23593.0]
669,[18790.646484375],[32852.0]
670,[13066.4892578125],[31752.0]
671,[29828.611328125],[14444.0]
672,[38740.18359375],[10999.0]
673,[28881.138671875],[12997.0]
674,[35529.19140625],[14925.0]
675,[10237.1025390625],[21882.0]
676,[25842.802734375],[43126.0]
677,[25988.162109375],[32256.0]
678,[27890.42578125],[25389.0]
679,[20715.388671875],[21622.0]
680,[17712.654296875],[25000.0]
681,[40219.65234375],[34500.0]
682,[37059.01953125],[29250.0]
683,[16683.86328125],[23437.0]
684,[13518.11328125],[40349.0]
685,[6942.72314453125],[32525.0]
686,[1881.71923828125],[18729.0]
687,[8743.3603515625],[29001.0]
688,[11894.5341796875],[49525.0]
689,[8673.2431640625],[31939.0]
690,[8572.4560546875],[29220.0]
691,[28025.841796875],[30275.0]
692,[34969.71875],[997.0]
693,[11904.01171875],[24140.0]
694,[19736.64453125],[2370.0]
695,[10339.1650390625],[20994.0]
696,[32656.0859375],[21048.0]
697,[20033.462890625],[40290.0]
698,[13990.0703125],[27327.0]
699,[24740.38671875],[24230.0]
700,[6904.57568359375],[20748.0]
701,[24430.76171875],[46409.0]
702,[34596.15234375],[26059.0]
703,[26939.625],[20295.0]
704,[14781.8681640625],[22342.0]
705,[1247.755126953125],[2753.0]
706,[9761.03125],[21151.0]
707,[13773.95703125],[24300.0]
708,[22297.431640625],[1400.0]
709,[5602.47900390625],[40437.0]
710,[25628.69921875],[19774.0]
711,[14160.9697265625],[55444.0]
712,[11770.4248046875],[24360.0]
713,[46892.828125],[17625.0]
714,[30068.4765625],[73500.0]
715,[27103.81640625],[11877.0]
716,[32317.37109375],[62100.0]
717,[18410.564453125],[17066.0]
718,[10792.2392578125],[12112.0]
719,[24035.888671875],[47466.0]
720,[15587.0],[40380.0]
721,[29285.78515625],[42712.0]
722,[29512.568359375],[46500.0]
723,[4710.3505859375],[16000.0]
724,[16380.3212890625],[33500.0]
725,[26018.458984375],[35579.0]
726,[2142.727294921875],[7000.0]
727,[6639.44970703125],[21374.0]
728,[27028.578125],[29522.0]
729,[40508.19140625],[4597.0]
730,[12713.2353515625],[25005.0]
731,[12400.3818359375],[26665.0]
732,[6563.61962890625],[27661.0]
733,[36882.87890625],[26834.0]
734,[32344.826171875],[27935.0]
735,[34870.125],[9460.0]
736,[13609.5712890625],[27641.0]
737,[15989.28515625],[21973.0]
738,[29867.1953125],[47175.0]
739,[34002.19140625],[42500.0]
740,[17997.830078125],[31162.0]
741,[28911.07421875],[28473.0]
742,[2646.608642578125],[40257.0]
743,[29050.271484375],[5997.0]
744,[25251.650390625],[20315.0]
745,[19069.240234375],[26094.0]
746,[51300.5625],[22267.0]
747,[25436.333984375],[22350.0]
748,[4943.18408203125],[16000.0]
749,[23529.810546875],[24750.0]
750,[32427.673828125],[34444.0]
751,[8687.7451171875],[40144.0]
752,[25754.150390625],[45465.0]
753,[16925.150390625],[26488.0]
754,[18514.515625],[3582.0]
755,[9822.6953125],[17140.0]
756,[5106.30029296875],[42902.0]
757,[26860.162109375],[6666.0]
758,[1200.123291015625],[22119.0]
759,[23440.052734375],[36698.0]
760,[11987.9560546875],[32300.0]
761,[18788.337890625],[38460.0]
762,[8133.12451171875],[28283.0]
763,[23883.267578125],[555.0]
764,[11209.962890625],[27777.0]
765,[25683.9140625],[25500.0]
766,[8294.392578125],[21430.0]
767,[24467.548828125],[31438.0]
768,[10581.1650390625],[16500.0]
769,[2278.576171875],[7350.0]
770,[3006.4013671875],[35000.0]
771,[6560.8671875],[23290.0]
772,[8671.3896484375],[22260.0]
773,[17083.63671875],[24732.0]
774,[13533.0966796875],[25615.0]
775,[1137.8077392578125],[7739.0]
776,[25098.33203125],[39326.0]
777,[31178.24609375],[43400.0]
778,[31370.34375],[10000.0]
779,[25764.876953125],[944.0]
780,[8486.2314453125],[21270.0]
781,[5879.73291015625],[36190.0]
782,[1271.1201171875],[24263.0]
783,[29675.814453125],[24750.0]
784,[21512.318359375],[51370.0]
785,[11616.2470703125],[39900.0]
786,[17311.150390625],[19405.0]
787,[9564.0537109375],[35000.0]
788,[1487.680908203125],[20665.0]
789,[40193.62890625],[11475.0]
790,[8523.2705078125],[29323.0]
791,[24392.244140625],[20856.0]
792,[4428.30517578125],[28076.0]
793,[42385.60546875],[7555.0]
794,[47129.10546875],[38164.0]
795,[39977.3203125],[31217.0]
796,[13295.333984375],[25840.0]
797,[7387.634765625],[35082.0]
798,[27032.828125],[52250.0]
799,[17661.310546875],[26876.0]
800,[25270.861328125],[34129.0]
801,[24686.447265625],[9002.0]
802,[28575.005859375],[23950.0]
803,[50266.30859375],[30082.0]
804,[6699.23388671875],[30180.0]
805,[13703.41015625],[22137.0]
806,[22529.9140625],[39295.0]
807,[29416.734375],[50750.0]
808,[9533.90625],[28815.0]
809,[21282.58984375],[20905.0]
810,[13744.4541015625],[44400.0]
