Truck ID,Quarter,Year,New_or_Used,Sale_Price,List_Price,Pct_of_List,Book_Value,Type,Truck_Manufacturer,Region_Nm,Condition,Model_Year,Odometer,Model,Transmission_Type,Engine_Manufacturer,Fuel_Type,Wheelbase_Size,Gear_Ratio,Num_Axles,Num_Wheels,Front_Tire_Size,Rear_Tire_Size,Color,Delivery_Region,Channel,Delivery_Location,Age_Yrs,Rear_Axle_Weight,front_axle_wt,Horsepower,Engine_RPM,eng_est_life,Engine_Type
112,Q2,2020,NEW,20999,2405,0.114529263,45485.67,Tractor,International,RVS UTC EAST REGION,As Is,2012,267974,PRO LF687,Manual,INTL,Diesel,187,3.36,3,10,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Central US,Retail,Knoxville,6,40000,12000,475,1700,850000,IN LINE
113,Q2,2020,NEW,18239,11000,0.60310324,17860.3,Truck,Isuzu,RVS UTC EAST REGION,Ready,2011,185096,NQR,Auto,ISUZ,Diesel,150,5.12,2,6,225/70R 19.5 M810YZ,225/70R 19.5 M810YZ,WHITE,Northeastern US,Fleet,Springfield,6,14550,6830,205,2400,200000,IN LINE
116,Q2,2020,NEW,29486,25000,0.847860001,19615.42,Tractor,International,RVS UTC EAST REGION,On the Road,2012,468985,PRO LF687,Manual,INTL,Diesel,230,3.36,3,10,295/75R22.5 14P R287,295/75R 22.5 M726EL,GREEN,Central US,Auction,Greenwood,6,40000,12350,430,1700,850000,IN LINE
117,Q2,2020,NEW,19995,17600,0.880220055,19615.91,Tractor,International,RVS UTC Central US RGN,Validated,2012,455357,PRO LF687,Manual,INTL,Diesel,230,3.36,3,10,295/75R22.5 14P R287,295/75R 22.5 M726EL,GREEN,Central US,Retail,Greenwood,6,40000,12350,430,1700,850000,IN LINE
118,Q2,2020,NEW,33121,25000,0.754808128,19615.62,Tractor,International,RVS UTC EAST REGION,On the Road,2012,501653,PRO LF687,Manual,INTL,Diesel,230,3.36,3,10,295/75R22.5 14P R287,295/75R 22.5 M726EL,GREEN,Other,Auction,Auction Sales,6,40000,12350,430,1700,850000,IN LINE
119,Q2,2020,NEW,20999,19000,0.904804991,40694.62,Tractor,International,RVS UTC Western US REGION,Validated,2012,163558,PRO LF687,Manual,INTL,Diesel,187,3.36,3,10,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Western US,Retail,Modesto,6,40000,12000,475,1700,850000,IN LINE
120,Q2,2020,NEW,50953,35667,0.699998037,25122.34,Truck,Freightliner,RVS UTC Western US REGION,Ready,2012,342946,M2 106,Manual,CUMM,Diesel,264,3.55,3,10,295/75R22.5 R260F,295/75R 22.5 M726EL,BLUE,Central US,Retail,Greenwood,6,40000,12000,270,2000,280000,IN LINE
122,Q2,2020,NEW,14602,1805,0.123613204,1499.01,Truck,Ford,RVS UTC EAST REGION,As Is,2005,106980,MT45 CHASSI,Auto,CUMM,Diesel,138,4.1,2,6,225/70R 19.5 G647,225/70R 19.5 G647,BLACK,Northeastern US,Retail,Boston,11+,12000,12000,185,2500,240000,IN LINE
123,Q2,2020,NEW,23400,18000,0.769230769,23021.78,Truck,Freightliner,RVS UTC EAST REGION,Ready,2012,374713,M2 106,Manual,CUMM,Diesel,280,3.9,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Northeastern US,Retail,Boston,6,21000,10000,250,2300,240000,IN LINE
124,Q2,2020,NEW,35935,38935,1.083484068,34142.27,Tractor,Freightliner,RVS UTC EAST REGION,Ready,2012,428247,CASCADIA 125,Manual,DETR,Diesel,185,3.55,3,10,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Western US,Retail,Modesto,6,40000,12000,450,1800,750000,IN LINE
125,Q2,2020,NEW,16249,3805,0.234168257,20547.59,Truck,International,RVS UTC EAST REGION,As Is,2012,190100,4300,Manual,INTL,Diesel,254,4.11,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Central US,Retail,Birmingham,6,21000,12000,245,2200,280000,IN LINE
126,Q2,2020,NEW,32221,19000,0.58967754,21370.43,Truck,Isuzu,RVS UTC EAST REGION,Ready,2013,161447,NRR,Auto,ISUZ,Diesel,176,5.57,2,6,225/70R 19.5 M810YZ,225/70R 19.5 M810YZ,BLACK,Northeastern US,Fleet,Bangor,5,14550,7270,215,2500,200000,IN LINE
127,Q2,2020,NEW,29077,26205,0.901227775,28232.87,Tractor,Volvo,RVS UTC EAST REGION,Validated,2013,677271,VNL64Tractor,Auto,VOLV,Diesel,182,2.64,3,10,295/75R22.5 14P R287,295/75R 22.5 M726EL,BLUE,SOUTH US,Retail,High Point,5,40000,12500,425,1750,850000,IN LINE
128,Q2,2020,NEW,34059,30705,0.901523826,32822.52,Tractor,Volvo,RVS UTC EAST REGION,Ready,2013,679688,VNL64Tractor,Auto,VOLV,Diesel,182,2.64,3,10,295/75R22.5 14P R287,295/75R 22.5 M726EL,BLUE,SOUTH US,Retail,High Point,5,40000,12500,425,1750,850000,IN LINE
129,Q2,2020,NEW,32379,29155,0.900429291,31479.13,Tractor,Volvo,RVS UTC EAST REGION,Validated,2013,614618,VNL64Tractor,Auto,VOLV,Diesel,182,2.64,3,10,295/75R22.5 14P R287,295/75R 22.5 M726EL,BLUE,SOUTH US,Retail,High Point,5,40000,12500,425,1750,850000,IN LINE
130,Q2,2020,NEW,12205,3305,0.27079066,17338.77,Truck,International,RVS UTC EAST REGION,As Is,2009,259317,4300 LP,Auto,INTL,Diesel,217,4.88,2,6,245/70R 19.5 R250F,245/70R 19.5G (M724),WHITE,SOUTH US,Retail,Tampa,9,17500,8000,210,2300,240000,IN LINE
131,Q2,2020,NEW,28133,14750,0.524295312,18399.54,Truck,Freightliner,RVS UTC Western US REGION,Ready,2013,320610,M2 106,Auto,CUMM,Diesel,270,4.78,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Western US,Fleet,St Louis,5,17500,10000,240,2300,240000,IN LINE
132,Q2,2020,NEW,34445,26000,0.754826535,31854.65,Tractor,Freightliner,RVS UTC EAST REGION,Validated,2013,597434,CASCADIA 125,Auto Shift,CUMM,Diesel,218,2.47,3,10,295/75R 22.5 R287A,295/75R 22.5 M720,BLUE,Northeastern US,Fleet,Philadelphia,5,40000,13300,400,1800,850000,IN LINE
133,Q2,2020,NEW,36910,37000,1.002438364,36560.43,Tractor,Freightliner,RVS UTC Central US RGN,Ready,2013,566844,CASCADIA 125,Manual,DETR,Diesel,175,2.47,3,10,295/75R 22.5 R287A,295/75R 22.5 M720,WHITE,SOUTH US,Retail,High Point,5,40000,12000,455,1800,850000,IN LINE
134,Q2,2020,NEW,35875,31000,0.864111498,32088.53,Tractor,Volvo,RVS UTC EAST REGION,Ready,2013,653560,VNL64Tractor,Manual,CUMM,Diesel,213,0,3,10,295/75R22.5  R280,295/75R 22.5 M726EL,BLACK,Northeastern US,Retail,Bangor,5,40000,13200,450,2100,850000,IN LINE
135,Q2,2020,NEW,39612,34650,0.874734929,34592.54,Tractor,Freightliner,RVS UTC Central US RGN,Ready,2013,613586,CASCADIA 125,Manual,DETR,Diesel,230,2.47,3,10,295/75R22.5 R283,295/75R 22.5 (M710),WHITE,SOUTH US,Retail,High Point,5,40000,12000,455,1800,850000,IN LINE
136,Q2,2020,NEW,32427,34200,1.054676658,32047.41,Truck,International,RVS UTC Central US RGN,Validated,2013,79415,4300,Auto,INTL,Diesel,291,5.57,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Western US,Retail,Modesto,5,21000,12000,230,2200,240000,IN LINE
137,Q2,2020,NEW,37952,35700,0.940661889,54202.41,Truck,International,RVS UTC EAST REGION,Validated,2013,84300,4300,Auto,INTL,Diesel,291,5.57,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Western US,Retail,Modesto,5,21000,12000,230,2200,240000,IN LINE
138,Q2,2020,NEW,27629,27000,0.977234066,19708.17,Truck,Isuzu,RVS UTC EAST REGION,Ready,2013,62426,NPR HD,Auto,ISUZ,Diesel,150,4.55,2,6,LT215/85R 16P R250,LT215/85R 16P R250,WHITE,Northeastern US,Retail,Providence,5,14550,6830,215,2500,200000,IN LINE
139,Q2,2020,NEW,40732,26500,0.650594128,35712.07,Tractor,Freightliner,RVS UTC Central US RGN,Ready,2014,708356,CASCADIA 125,Auto,DETR,Diesel,247,2.64,3,10,295/75R22.5  R280,295/75R 22.5 M720,BLUE,Central US,Fleet,Oxford,5,40000,13300,488,1800,850000,IN LINE
140,Q2,2020,NEW,43590,43590,1,41683.58,Tractor,Volvo,RVS UTC EAST REGION,Ready,2014,496046,VNL64Tractor,Manual,CUMM,Diesel,213,3.55,3,10,295/75R22.5  R280,295/75R 22.5 M726EL,BLUE,Northeastern US,Retail,Syracuse,5,40000,13200,450,2100,850000,IN LINE
141,Q2,2020,NEW,25233,21500,0.852058812,24953.54,Truck,Isuzu,RVS UTC Western US REGION,Ready,2013,110342,NPR HD,Auto,ISUZ,Diesel,150,4.55,2,6,LT215/85R 16P R250,LT215/85R 16P R250,WHITE,Western US,Fleet,Seattle,5,14550,6830,215,2500,200000,IN LINE
142,Q2,2020,NEW,37514,39000,1.039611878,45411.19,Tractor,Freightliner,RVS UTC Western US REGION,Ready,2013,428617,CASCADIA 113,Manual,DETR,Diesel,162,3.42,2,6,295/75R22.5  R280,295/75R 22.5 M726EL,WHITE,Western US,Retail,Modesto,5,23000,12500,450,1800,700000,IN LINE
143,Q2,2020,NEW,37635,39500,1.049554936,48587.06,Tractor,Freightliner,RVS UTC Western US REGION,Ready,2013,416491,CASCADIA 113,Manual,DETR,Diesel,0,3.42,2,6,295/75R22.5  R280,295/75R 22.5 M726EL,WHITE,Western US,Retail,Modesto,5,23000,12500,450,1800,700000,IN LINE
144,Q2,2020,NEW,37183,39000,1.048866417,36200.69,Tractor,Freightliner,RVS UTC Western US REGION,Ready,2013,441723,CASCADIA 113,Manual,DETR,Diesel,160,3.42,2,6,295/75R22.5  R280,295/75R 22.5 M726EL,WHITE,Western US,Retail,Modesto,5,23000,12500,450,1800,700000,IN LINE
145,Q2,2020,NEW,37828,39500,1.044200063,43510.75,Tractor,Freightliner,RVS UTC Western US REGION,Ready,2013,397249,CASCADIA 113,Manual,DETR,Diesel,0,3.42,2,6,295/75R22.5  R280,295/75R 22.5 M726EL,WHITE,Western US,Retail,Modesto,5,23000,12500,450,1800,700000,IN LINE
146,Q2,2020,NEW,37732,39500,1.046856779,37382.51,Tractor,Freightliner,RVS UTC Western US REGION,Ready,2013,406825,CASCADIA 113,Manual,DETR,Diesel,162,3.42,2,6,295/75R22.5  R280,295/75R 22.5 M726EL,WHITE,Western US,Retail,Modesto,5,23000,12500,450,1800,700000,IN LINE
147,Q2,2020,NEW,37445,39000,1.041527574,44952.88,Tractor,Freightliner,RVS UTC Western US REGION,Ready,2013,435459,CASCADIA 113,Manual,DETR,Diesel,162,3.42,2,6,295/75R22.5  R280,295/75R 22.5 M726EL,WHITE,Western US,Retail,Modesto,5,23000,12500,450,1800,700000,IN LINE
148,Q2,2020,NEW,26914,14900,0.553615219,26534.72,Truck,Isuzu,RVS UTC EAST REGION,Ready,2013,213055,NQR,Auto,ISUZ,Diesel,150,5.12,2,6,225/70R 19.5 M810YZ,225/70R 19.5 M810YZ,WHITE,SOUTH US,Fleet,Charlotte,5,14550,6830,215,2500,200000,IN LINE
149,Q2,2020,NEW,33070,22000,0.665255519,29147.86,Tractor,Freightliner,RVS UTC EAST REGION,Validated,2014,657973,CASCADIA 125,Manual,DETR,Diesel,179,3.73,3,10,11R 22.5 14P (R280),11R22.5 14P XDN GRIP,WHITE,Northeastern US,Fleet,Boston,4,46000,13300,475,1800,850000,IN LINE
150,Q2,2020,NEW,53183,49000,0.921347047,30359.2,Truck,Freightliner,RVS UTC EAST REGION,Ready,2014,277666,M2 106,Auto Shift,CUMM,Diesel,265,4.88,3,10,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,SOUTH US,Retail,Atlanta,5,40000,12000,350,2000,280000,IN LINE
151,Q2,2020,NEW,36131,33000,0.913343113,32728.42,Truck,Isuzu,RVS UTC EAST REGION,Ready,2013,135863,NQR,Auto,ISUZ,Diesel,132,5.12,2,6,225/70R 19.5 M810YZ,225/70R 19.5 M810YZ,WHITE,SOUTH US,Retail,High Point,4,14550,6830,215,2500,200000,IN LINE
152,Q2,2020,NEW,20010,7250,0.362318841,33001.34,Tractor,Volvo,RVS UTC Western US REGION,As Is,2014,715299,VNL64Tractor,Manual,VOLV,Diesel,178,3.36,3,10,295/75R22.5 14P R287,295/75R 22.5 M726EL,RED,Western US,Retail,Kansas City,5,40000,12000,425,1750,850000,IN LINE
153,Q2,2020,NEW,28400,15000,0.528169014,19731.06,Truck,Freightliner,RVS UTC Central US RGN,Ready,2014,372730,M2 106,Manual,CUMM,Diesel,270,3.91,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Central US,Fleet,Louisville,5,17500,10000,240,2300,240000,IN LINE
154,Q2,2020,NEW,17710,14405,0.81338227,15540.93,Truck,Ford,RVS UTC Central US RGN,Ready,2013,123797,E-350 ECONOLINE,Auto,FORD,Diesel,158,4.1,2,6,LT225/75R 16E BSW,LT225/75R 16E 10P,WHITE,Central US,Retail,Cleveland,4,8500,4600,255,4500,120000,IN LINE
155,Q2,2020,NEW,43837,28500,0.65013573,42007.34,Tractor,Freightliner,RVS UTC Central US RGN,Ready,2014,516313,CASCADIA 125,Manual,CUMM,Diesel,179,3.55,3,10,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Central US,Fleet,Milwaukee,5,40000,12000,450,1800,850000,IN LINE
156,Q2,2020,NEW,29121,26000,0.892826483,28741.41,Tractor,Freightliner,RVS UTC EAST REGION,Validated,2014,784499,CASCADIA 125,Manual,CUMM,Diesel,230,3.55,3,10,295/75R 22.5 16PG622,295/75R 22.5 M726EL,WHITE,SOUTH US,Fleet,Atlanta,5,40000,13300,450,1800,850000,IN LINE
157,Q2,2020,NEW,23551,23000,0.976603966,23272.26,Truck,Isuzu,RVS UTC EAST REGION,Ready,2013,143984,NPR HD,Auto,ISUZ,Diesel,150,4.55,2,6,LT215/85R 16P R250,LT215/85R 16P R250,WHITE,SOUTH US,Retail,High Point,5,14550,6830,215,2500,200000,IN LINE
158,Q2,2020,NEW,20294,17950,0.884497881,20014.83,Truck,Isuzu,RVS UTC Western US REGION,Ready,2013,178784,NPR HD,Manual,ISUZ,Diesel,176,4.55,2,6,LT215/85R 16P R250,LT215/85R 16P R250,WHITE,Western US,Fleet,Dallas,4,14550,6830,215,2500,200000,IN LINE
159,Q2,2020,NEW,53000,50250,0.948113208,38095.82,Tractor,Freightliner,RVS UTC Central US RGN,Ready,2014,441048,CASCADIA 125,Manual,CUMM,Diesel,230,3.42,3,10,295/75R22.5 R283,295/75R 22.5 M726EL,WHITE,Western US,Retail,Seattle,5,40000,12000,450,1800,850000,IN LINE
160,Q2,2020,NEW,21354,12000,0.561955606,16697.92,Truck,Isuzu,RVS UTC Central US RGN,Ready,2013,137925,NPR HD,Auto,ISUZ,Diesel,150,4.55,2,6,LT215/85R 16P R250,LT215/85R 16P R250,WHITE,Central US,Fleet,Louisville,5,14550,6830,215,2500,200000,IN LINE
161,Q2,2020,NEW,29537,28500,0.964891492,29158.25,Truck,Freightliner,RVS UTC EAST REGION,Ready,2014,330570,M2 106,Auto,CUMM,Diesel,286,5.22,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Northeastern US,Retail,Providence,4,17500,10000,260,2300,240000,IN LINE
163,Q2,2020,NEW,16971,10000,0.589240469,16691.85,Truck,Isuzu,RVS UTC Western US REGION,Ready,2014,222623,NPR HD,Auto,ISUZ,Diesel,150,4.55,2,6,LT215/85R 16P R250,LT215/85R 16P R250,WHITE,Western US,Fleet,Flagstaff,4,14550,6830,215,2500,200000,IN LINE
164,Q2,2020,NEW,45788,44000,0.960950467,33761.59,Tractor,Freightliner,RVS UTC Western US REGION,Ready,2014,571080,CASCADIA 125,Manual,DETR,Diesel,230,3.55,3,10,295/75R22.5 R283,295/75R 22.5 M726EL,WHITE,Western US,Retail,Flagstaff,4,40000,12000,455,1800,850000,IN LINE
165,Q2,2020,NEW,25232,23500,0.931357007,24953.63,Truck,Isuzu,RVS UTC Western US REGION,Ready,2013,110356,NPR HD,Auto,ISUZ,Diesel,150,4.55,2,6,LT215/85R 16P R250,LT215/85R 16P R250,WHITE,Western US,Retail,Golden,4,14550,6830,215,2500,200000,IN LINE
166,Q2,2020,USED,17125,17125,1,13499,Tractor,Mack,RVS UTC EAST REGION,Validated,2012,528834,CXU600,Manual,MACK,Diesel,0,0,3,6,,,,Western US,Fleet,Missoula,0,40000,,395,1500,850000,IN LINE
167,Q2,2020,USED,17125,17125,1,13499,Tractor,Mack,RVS UTC EAST REGION,Validated,2012,473812,CXU600,Manual,MACK,Diesel,0,0,3,6,,,,Western US,Fleet,Missoula,0,40000,,395,1500,850000,IN LINE
168,Q2,2020,USED,17125,17125,1,12499,Tractor,Mack,RVS UTC Western US REGION,Validated,2012,624472,CXU600,Manual,MACK,Diesel,0,0,3,6,,,,Western US,Fleet,Missoula,0,40000,,395,1500,850000,IN LINE
169,Q2,2020,USED,11175,2800,0.250559284,35877.59,Truck,Ford,RVS UTC EAST REGION,As Is,2012,127217,F650,Auto,CUMM,Diesel,0,0,,,,,,SOUTH US,Retail,Jacksonville,3,,,210,2600,240000,IN LINE
170,Q2,2020,NEW,18890,13500,0.714663843,18510.7,Truck,Freightliner,RVS UTC EAST REGION,Validated,2012,343621,M2 106,Auto,CUMM,Diesel,270,5.29,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Northeastern US,Retail,Baltimore DC,6,17500,10000,240,2300,240000,IN LINE
171,Q2,2020,NEW,12706,5500,0.432866362,20184.9,Tractor,Freightliner,RVS UTC Central US RGN,As Is,2011,815481,CASCADIA 125,Manual,CUMM,Diesel,234,3.58,3,10,295/75R22.5 14P R287,295/75R 22.5 M726EL,WHITE,Central US,Retail,Chicago,7,40000,12000,450,1800,850000,IN LINE
172,Q2,2020,NEW,34341,31500,0.917270901,23879.08,Truck,Freightliner,RVS UTC Western US REGION,Ready,2012,200173,M2 106,,CUMM,Diesel,286,3.9,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Western US,Retail,Pueblo,,21000,12000,280,2300,280000,IN LINE
173,Q2,2020,NEW,38092,30000,0.787566943,37742.49,Tractor,Freightliner,RVS UTC EAST REGION,Ready,2012,320388,CASCADIA 125,,CUMM,Diesel,183,3.55,3,10,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Northeastern US,Retail,Philadelphia,,40000,12000,450,1800,850000,IN LINE
174,Q2,2020,NEW,32975,30000,0.909780137,31924.22,Tractor,Freightliner,RVS UTC EAST REGION,Ready,2011,345675,CASCADIA 125,,DETR,Diesel,184,3.73,3,10,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Northeastern US,Retail,Philadelphia,,40000,12000,455,1800,850000,IN LINE
175,Q2,2020,NEW,12507,12507,1,8170.97,Truck,Isuzu,RVS UTC EAST REGION,Ready,2008,172300,NPR HD,,ISUZ,Diesel,132,4.77,2,6,LT215/85R 16P R187,LT215/85R 16P R187,WHITE,Northeastern US,Retail,Baltimore DC,,14550,6830,205,2600,200000,IN LINE
176,Q2,2020,NEW,29138,30500,1.046743085,28029.63,Tractor,Freightliner,RVS UTC EAST REGION,Ready,2010,418097,CASCADIA 125,,DETR,Diesel,184,3.42,3,10,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Northeastern US,Retail,Bangor,,46000,12000,505,1800,850000,IN LINE
177,Q2,2020,NEW,17457,17000,0.97382139,17178.65,Truck,Isuzu,RVS UTC EAST REGION,Ready,2011,172752,NPR HD,,ISUZ,Diesel,150,4.55,2,6,LT215/85R 16P R250,LT215/85R 16P R250,WHITE,SOUTH US,Retail,Charlotte,,14550,6830,205,2400,200000,IN LINE
178,Q2,2020,NEW,38939,35500,0.911682375,37352.26,Tractor,Freightliner,RVS UTC EAST REGION,Ready,2013,625180,CASCADIA 125,,CUMM,Diesel,218,2.47,3,10,295/75R 22.5 R287A,295/75R 22.5 M720,BLUE,Northeastern US,Retail,Philadelphia,,40000,13300,400,1800,850000,IN LINE
179,Q2,2020,NEW,43650,43657,1.000160367,27081.82,Truck,Freightliner,RVS UTC EAST REGION,Ready,2012,181741,M2 106,,CUMM,Diesel,270,4.88,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Western US,Retail,Golden,,17500,10000,240,2300,240000,IN LINE
180,Q2,2020,NEW,25190,25800,1.024215959,24911.56,Truck,Isuzu,RVS UTC EAST REGION,Ready,2011,212000,NPR HD,,ISUZ,Diesel,150,4.55,2,6,LT215/85R 16P R250,LT215/85R 16P R250,WHITE,SOUTH US,Retail,Tampa,,14550,6830,205,2400,200000,IN LINE
181,Q2,2020,NEW,19827,19673,0.992232814,18960.84,Tractor,Freightliner,RVS UTC EAST REGION,Validated,2011,730795,CASCADIA 125,,DETR,Diesel,218,3.55,3,10,295/75R22.5 14P R287,295/75R 22.5 M720,WHITE,SOUTH US,Retail,Jacksonville,,40000,12000,450,1800,750000,IN LINE
182,Q2,2020,NEW,33845,28650,0.846506131,33495.15,Tractor,Freightliner,RVS UTC EAST REGION,Ready,2012,547200,CASCADIA 125,,CUMM,Diesel,199,3.55,3,10,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,SOUTH US,Retail,High Point,,40000,12000,500,1800,850000,IN LINE
183,Q2,2020,NEW,23715,24000,1.01201771,23335.96,Truck,Freightliner,RVS UTC EAST REGION,Validated,2014,360715,M2 106,,CUMM,Diesel,270,5.22,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,SOUTH US,Retail,Columbia,,17500,10000,240,2300,240000,IN LINE
184,Q2,2020,NEW,14646,15300,1.04465383,14266.36,Truck,International,RVS UTC EAST REGION,Validated,2011,306247,4300,,INTL,Diesel,272,6.14,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,SOUTH US,Retail,Jacksonville,,19000,10000,225,2300,240000,IN LINE
185,Q2,2020,NEW,20994,19115,0.910498238,19141.33,Truck,Isuzu,RVS UTC Central US RGN,Ready,2011,144408,NPR HD,,ISUZ,Diesel,150,4.55,2,6,LT215/85R 16P R250,LT215/85R 16P R250,WHITE,Central US,Retail,Bloomington,,14550,6830,205,2400,200000,IN LINE
186,Q2,2020,NEW,18900,18500,0.978835979,18621.39,Truck,Isuzu,RVS UTC Central US RGN,Ready,2011,159282,NPR HD,,ISUZ,Diesel,150,4.55,2,6,LT215/85R 16P R250,LT215/85R 16P R250,WHITE,Central US,Retail,Chicago,,14550,6830,205,2400,200000,IN LINE
187,Q2,2020,NEW,25971,25171,0.969196411,25592.6,Truck,International,RVS UTC Central US RGN,Validated,2012,238965,4300,,INTL,Diesel,272,5.57,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Central US,Retail,Chicago,,19000,10000,215,2200,240000,IN LINE
188,Q2,2020,NEW,37800,35599,0.941772487,33092.53,Truck,Isuzu,RVS UTC Central US RGN,Ready,2012,90668,NRR,,ISUZ,Diesel,150,5.12,2,6,225/70R 19.5 M810YZ,225/70R 19.5 M810YZ,WHITE,Western US,Retail,Denver,,14550,6830,215,2500,200000,IN LINE
189,Q2,2020,NEW,29084,27840,0.957227342,27744.49,Tractor,Freightliner,RVS UTC EAST REGION,Validated,2014,789243,CASCADIA 125,,DETR,Diesel,230,3.36,3,10,G399 LHS 295/75R,295/75R 22.5 M726EL,VIPR RED,SOUTH US,Retail,Charlotte,,40000,13300,475,1800,850000,IN LINE
190,Q2,2020,NEW,26124,24500,0.937834941,13376.87,Truck,Freightliner,RVS UTC Western US REGION,Ready,2012,311599,M2 106,,CUMM,Diesel,270,4.88,2,6,295/75R22.5 R260F,295/75R 22.5 M726EL,WHITE,Central US,Retail,Louisville,,17500,10000,240,2300,240000,IN LINE
